Validador do Convênio ICMS 115/2003, versão : 3.00d
Versão do layout: v_03
Data da Validação: 09/02/2019 12:13:06

Nome do arquivo Mestre: RN04601397003909211  1809N01M.001

Arquivo Mestre: 103.107 linhas, 44.026.689 bytes.
Arquivo Destinatário: 103.107 linhas, 29.797.923 bytes.
Arquivo Item: 125.879 linhas, 41.917.707 bytes.

registro; tipo de ocorrencia; arquivo; codigo do erro; valor lido; documento fiscal
22074;A;D;306;[00000];000079577
22258;A;D;306;[00000];000079761
22273;A;D;306;[00000];000079776
22299;A;D;306;[00000];000079802
22308;A;D;306;[00000];000079811
22322;A;D;306;[00000];000079825
22337;A;D;306;[00000];000079840
22414;A;D;306;[00000];000079917
22434;A;D;306;[00000];000079937
22450;A;D;306;[00000];000079953
22452;A;D;306;[00000];000079955
22469;A;D;306;[00000];000079972
22507;A;D;306;[00000];000080010
22550;A;D;306;[00000];000080053
22588;A;D;306;[00000];000080091
22672;A;D;306;[00000];000080175
22768;A;D;306;[00000];000080271
22843;A;D;306;[00000];000080346
22855;A;D;306;[00000];000080358
22901;A;D;306;[00000];000080404
22915;A;D;306;[00000];000080418
22946;A;D;306;[00000];000080449
22959;A;D;306;[00000];000080462
23080;A;D;306;[00000];000080583
23113;A;D;306;[00000];000080616
23176;A;D;306;[00000];000080679
23198;A;D;306;[00000];000080701
23199;A;D;306;[00000];000080702
23206;A;D;306;[00000];000080709
23214;A;D;306;[00000];000080717
23222;A;D;306;[00000];000080725
23243;A;D;306;[00000];000080746
23244;A;D;306;[00000];000080747
23286;A;D;306;[00000];000080789
23294;A;D;306;[00000];000080797
23298;A;D;306;[00000];000080801
23299;A;D;306;[00000];000080802
23321;A;D;306;[00000];000080824
23344;A;D;306;[00000];000080847
23360;A;D;306;[00000];000080863
23397;A;D;306;[00000];000080900
23430;A;D;306;[00000];000080933
23434;A;D;306;[00000];000080937
23539;A;D;306;[00000];000081042
23563;A;D;306;[00000];000081066
23610;A;D;306;[00000];000081113
23635;A;D;306;[00000];000081138
23642;A;D;306;[00000];000081145
23659;A;D;306;[00000];000081162
23706;A;D;306;[00000];000081209
23714;A;D;306;[00000];000081217
23716;A;D;306;[00000];000081219
23749;A;D;306;[00000];000081252
23765;A;D;306;[00000];000081268
23809;A;D;306;[00000];000081312
23810;A;D;306;[00000];000081313
23816;A;D;306;[00000];000081319
23862;A;D;306;[00000];000081365
23903;A;D;306;[00000];000081406
24050;A;D;306;[00000];000081553
24064;A;D;306;[00000];000081567
24076;A;D;306;[00000];000081579
24087;A;D;306;[00000];000081590
24090;A;D;306;[00000];000081593
24102;A;D;306;[00000];000081605
24116;A;D;306;[00000];000081619
